#  iFrame          Time(ps)     <Ree^2>/<Rg^2>  std<Ree^2>/<Rg^2>
#================================================================
         0          0.000         6.30         5.35 
         1      20000.000         6.00         5.62 
         2      40000.000         5.84         5.19 
         3      60000.000         5.86         5.77 
         4      80000.000         6.02         5.68 
         5     100000.000         5.90         5.96 
         6     120000.000         6.36         5.96 
         7     140000.000         6.08         5.57 
         8     160000.000         6.24         7.26 
         9     180000.000         6.35         6.08 
        10     200000.000         6.08         6.20 
        11     220000.000         6.40         5.94 
        12     240000.000         5.73         5.17 
        13     260000.000         6.04         5.66 
        14     280000.000         5.90         5.37 
        15     300000.000         6.79         6.44 
        16     320000.000         6.59         6.31 
        17     340000.000         5.93         5.55 
        18     360000.000         6.01         6.17 
        19     380000.000         6.18         5.46 
        20     400000.000         6.46         6.09 
        21     420000.000         6.32         5.53 
        22     440000.000         6.47         6.27 
        23     460000.000         6.42         6.51 
        24     480000.000         6.23         6.95 
        25     500000.000         6.10         5.34 
        26     520000.000         5.70         4.92 
        27     540000.000         6.49         6.10 
        28     560000.000         6.67         6.43 
        29     580000.000         6.32         6.15 
        30     600000.000         6.61         6.15 
        31     620000.000         6.63         6.17 
        32     640000.000         6.07         5.17 
        33     660000.000         5.98         5.63 
        34     680000.000         5.87         5.55 
        35     700000.000         5.41         5.08 
        36     720000.000         5.87         5.82 
        37     740000.000         5.92         5.75 
        38     760000.000         6.47         6.91 
        39     780000.000         6.27         6.26 
        40     800000.000         6.32         5.80 
        41     820000.000         6.12         6.43 
        42     840000.000         6.04         5.61 
        43     860000.000         5.99         4.77 
        44     880000.000         6.05         6.05 
        45     900000.000         6.31         5.58 
        46     920000.000         6.23         5.98 
        47     940000.000         6.10         5.74 
        48     960000.000         5.73         5.15 
        49     980000.000         5.77         5.40 
        50    1000000.000         5.64         4.86 
        51    1020000.000         6.28         5.65 
        52    1040000.000         6.41         5.35 
        53    1060000.000         5.86         4.99 
        54    1080000.000         5.77         4.97 
        55    1100000.000         6.05         5.75 
        56    1120000.000         6.49         6.15 
        57    1140000.000         6.30         6.19 
        58    1160000.000         5.98         5.68 
        59    1180000.000         6.46         6.83 
        60    1200000.000         6.03         5.24 
        61    1220000.000         6.49         5.72 
        62    1240000.000         6.05         5.10 
        63    1260000.000         6.24         5.54 
        64    1280000.000         5.81         4.71 
        65    1300000.000         6.38         6.13 
        66    1320000.000         6.52         5.89 
        67    1340000.000         6.20         5.02 
        68    1360000.000         6.16         5.43 
        69    1380000.000         5.98         6.05 
        70    1400000.000         5.74         4.88 
        71    1420000.000         5.52         4.70 
        72    1440000.000         6.34         5.38 
        73    1460000.000         6.08         5.58 
        74    1480000.000         6.08         5.84 
        75    1500000.000         6.65         5.80 
        76    1520000.000         5.94         5.50 
        77    1540000.000         5.83         5.96 
        78    1560000.000         5.98         5.46 
        79    1580000.000         6.17         5.50 
        80    1600000.000         6.86         5.94 
        81    1620000.000         6.23         5.36 
        82    1640000.000         6.19         5.73 
        83    1660000.000         6.04         5.18 
        84    1680000.000         5.83         5.07 
        85    1700000.000         5.65         5.11 
        86    1720000.000         5.88         5.46 
        87    1740000.000         6.02         5.11 
        88    1760000.000         6.29         5.67 
        89    1780000.000         5.92         5.33 
        90    1800000.000         5.51         4.89 
        91    1820000.000         5.85         5.57 
        92    1840000.000         5.52         5.49 
        93    1860000.000         5.83         5.00 
        94    1880000.000         6.40         5.42 
        95    1900000.000         6.11         4.66 
        96    1920000.000         6.66         5.57 
        97    1940000.000         5.98         5.10 
        98    1960000.000         6.08         5.22 
        99    1980000.000         6.43         5.61 
       100    2000000.000         6.20         5.99 
       101    2020000.000         5.54         4.36 
       102    2040000.000         5.91         4.71 
       103    2060000.000         6.35         5.59 
       104    2080000.000         6.20         5.72 
       105    2100000.000         6.26         5.09 
       106    2120000.000         6.00         5.62 
       107    2140000.000         6.10         5.68 
       108    2160000.000         6.63         5.94 
       109    2180000.000         6.27         5.57 
